Scripture Reference,Liturgical Usage
Lam 3:1-12,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 2)"
Lam 3:13-24,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 3)"
Heb 4:1-13,"Office of Readings, Year II: Holy Saturday"
Jer 20:7-18,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate"
Lam 3:25-39,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 1)"
"Lam 3:40-42, 49-60","Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 2)"
"Lam 5:1-7, 13-21","Office of Readings, Year II: Sacred Paschal Triduum, Alternate (Canticle 3)"
Exod 14:15-15:1,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate, Vigil Reading 1"
Ezek 36:16-28,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate, Vigil Reading 2"
Rom 6:3-11,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate, Vigil Reading 3"
Matt 28:1-10,"Office of Readings, Year II: Sacred Paschal Triduum, Alternate, Vigil Reading 4"
Col 3:1-17,"Office of Readings, Year I: Easter, Week 2, Sunday"
Rev 1:1-20,"Office of Readings, Year I: Easter, Week 2, Monday"
Rev 2:1-11,"Office of Readings, Year I: Easter, Week 2, Tuesday"
Rev 2:12-29,"Office of Readings, Year I: Easter, Week 2, Wednesday"
Rev 3:1-22,"Office of Readings, Year I: Easter, Week 2, Thursday"
Rev 4:1-11,"Office of Readings, Year I: Easter, Week 2, Friday"
Rev 5:1-14,"Office of Readings, Year I: Easter, Week 2, Saturday"
Rev 6:1-17,"Office of Readings, Year I: Easter, Week 3, Sunday"
Rev 7:1-17,"Office of Readings, Year I: Easter, Week 3, Monday"
Rev 8:1-13,"Office of Readings, Year I: Easter, Week 3, Tuesday"
Rev 9:1-12,"Office of Readings, Year I: Easter, Week 3, Wednesday"
Rev 9:13-21,"Office of Readings, Year I: Easter, Week 3, Thursday"
Rev 10:1-11,"Office of Readings, Year I: Easter, Week 3, Friday"
Rev 12:1-18,"Office of Readings, Year I: Easter, Week 4, Sunday"
Rev 13:1-18,"Office of Readings, Year I: Easter, Week 4, Monday"
Rev 14:1-13,"Office of Readings, Year I: Easter, Week 4, Tuesday"
Rev 14:14-15:4,"Office of Readings, Year I: Easter, Week 4, Wednesday"
Rev 15:4-16:21,"Office of Readings, Year I: Easter, Week 4, Thursday"
Rev 17:1-18,"Office of Readings, Year I: Easter, Week 4, Friday"
Rev 18:1-20,"Office of Readings, Year I: Easter, Week 4, Saturday"
Rev 18:21-19:10,"Office of Readings, Year I: Easter, Week 5, Sunday"
Rev 19:11-21,"Office of Readings, Year I: Easter, Week 5, Monday"
Rev 20:1-15,"Office of Readings, Year I: Easter, Week 5, Tuesday"
Rev 21:1-8,"Office of Readings, Year I: Easter, Week 5, Wednesday"
Rev 21:9-27,"Office of Readings, Year I: Easter, Week 5, Thursday"
Rev 22:1-9,"Office of Readings, Year I: Easter, Week 5, Friday"
Rev 22:10-21,"Office of Readings, Year I: Easter, Week 5, Saturday"
1 John 1:1-10,"Office of Readings, Year I: Easter, Week 6, Sunday"
1 John 2:1-11,"Office of Readings, Year I: Easter, Week 6, Monday"
1 John 2:12-17,"Office of Readings, Year I: Easter, Week 6, Tuesday"
1 John 2:18-29,"Office of Readings, Year I: Easter, Week 6, Wednesday"
1 John 3:1-10,"Office of Readings, Year I: Easter, Week 6, Friday"
1 John 3:11-17,"Office of Readings, Year I: Easter, Week 6, Saturday"
1 John 3:18-24,"Office of Readings, Year I: Easter, Week 7, Sunday"
1 John 4:1-10,"Office of Readings, Year I: Easter, Week 7, Monday"
1 John 4:11-21,"Office of Readings, Year I: Easter, Week 7, Tuesday"
1 John 5:1-12,"Office of Readings, Year I: Easter, Week 7, Wednesday"
1 John 5:13-21,"Office of Readings, Year I: Easter, Week 7, Thursday"
Rom 8:5-27,"Office of Readings, Year I: Pentecost Sunday"
Acts 1:1-26,"Office of Readings, Year II: Monday within the octave of Easter"
"Acts 2, ","Office of Readings, Year II: Tuesday within the octave of Easter"
Acts 2:22-41,"Office of Readings, Year II: Wednesday within the octave of Easter"
Acts 2:42-3:10,"Office of Readings, Year II: Thursday within the octave of Easter"
Acts 3:11-4:4,"Office of Readings, Year II: Friday within the octave of Easter"
Acts 4:5-31,"Office of Readings, Year II: Saturday within the octave of Easter"
Col 3:1-17,"Office of Readings, Year II: Easter, Week 2, Sunday"
Acts 4:32-5:16,"Office of Readings, Year II: Easter, Week 2, Monday"
Acts 5:17-42,"Office of Readings, Year II: Easter, Week 2, Tuesday"
Acts 6:1-15,"Office of Readings, Year II: Easter, Week 2, Wednesday"
Acts 7:1-16,"Office of Readings, Year II: Easter, Week 2, Thursday"
Acts 7:17-43,"Office of Readings, Year II: Easter, Week 2, Friday"
Acts 7:44-8:3,"Office of Readings, Year II: Easter, Week 2, Saturday"
Acts 8:4-25,"Office of Readings, Year II: Easter, Week 3, Sunday"
Acts 8:26-40,"Office of Readings, Year II: Easter, Week 3, Monday"
Acts 9:1-22,"Office of Readings, Year II: Easter, Week 3, Tuesday"
Acts 9:22-43,"Office of Readings, Year II: Easter, Week 3, Wednesday"
Acts 10:1-33,"Office of Readings, Year II: Easter, Week 3, Thursday"
"Acts 10:34-11:4, 15-18","Office of Readings, Year II: Easter, Week 3, Friday"
Acts 11:19-30,"Office of Readings, Year II: Easter, Week 3, Saturday"
Acts 12:1-23,"Office of Readings, Year II: Easter, Week 4, Sunday"
Acts 12:24-13:14a,"Office of Readings, Year II: Easter, Week 4, Monday"
Acts 13:14b-43,"Office of Readings, Year II: Easter, Week 4, Tuesday"
Acts 13:44-14:7,"Office of Readings, Year II: Easter, Week 4, Wednesday"
Acts 14:8-15:4,"Office of Readings, Year II: Easter, Week 4, Thursday"
Acts 15:5-35,"Office of Readings, Year II: Easter, Week 4, Friday"
Acts 15:36-16:1,"Office of Readings, Year II: Easter, Week 4, Saturday"
Acts 16:16-40,"Office of Readings, Year II: Easter, Week 5, Sunday"
Acts 17:1-18,"Office of Readings, Year II: Easter, Week 5, Monday"
Acts 17:19-34,"Office of Readings, Year II: Easter, Week 5, Tuesday"
Acts 18:1-28,"Office of Readings, Year II: Easter, Week 5, Wednesday"
Acts 19:1-20,"Office of Readings, Year II: Easter, Week 5, Thursday"
Acts 19:21-40,"Office of Readings, Year II: Easter, Week 5, Friday"
Acts 20:1-16,"Office of Readings, Year II: Easter, Week 5, Saturday"
Acts 20:17-38,"Office of Readings, Year II: Easter, Week 6, Sunday"
Acts 21:1-26,"Office of Readings, Year II: Easter, Week 6, Monday"
Acts 21:27-39,"Office of Readings, Year II: Easter, Week 6, Tuesday"
Acts 21:40-22:21,"Office of Readings, Year II: Easter, Week 6, Wednesday"
Acts 22:22-23:41,"Office of Readings, Year II: Easter, Week 6, Friday"
Acts 23:12-35,"Office of Readings, Year II: Easter, Week 6, Saturday"
Acts 24:1-27,"Office of Readings, Year II: Easter, Week 7, Sunday"
Acts 25:1-27,"Office of Readings, Year II: Easter, Week 7, Monday"
Acts 26:1-32,"Office of Readings, Year II: Easter, Week 7, Tuesday"
Acts 27:1-20,"Office of Readings, Year II: Easter, Week 7, Wednesday"
Acts 27:21-40,"Office of Readings, Year II: Easter, Week 7, Thursday"
Acts 28:1-14,"Office of Readings, Year II: Easter, Week 7, Friday"
Acts 28:15-21,"Office of Readings, Year II: Easter, Week 7, Saturday"
Rom 8:5-27,"Office of Readings, Year II: Pentecost Sunday"
1 Cor 2:1-16,"Office of Readings, Year I, II: Sunday I after Pentecost Most Holy Trinity"
Exod 24:1-11,"Office of Readings, Year I, II: Most Holy Body and Blood of Christ (Corpus Christi)"
Rom 8:28-39,"Office of Readings, Year I, II: Most Sacred Heart of Jesus"
Rom 1:1-17,"Office of Readings, Year I: Ordinary Time, Week 1, Monday"
Rom 1:18-32,"Office of Readings, Year I: Ordinary Time, Week 1, Tuesday"
Rom 2:1-16,"Office of Readings, Year I: Ordinary Time, Week 1, Wednesday"
Rom 2:17-29,"Office of Readings, Year I: Ordinary Time, Week 1, Thursday"
Rom 3:1-20,"Office of Readings, Year I: Ordinary Time, Week 1, Friday"
Rom 3:21-31,"Office of Readings, Year I: Ordinary Time, Week 1, Saturday"
Rom 4:1-25,"Office of Readings, Year I: Ordinary Time, Week 2, Sunday"
Rom 5:1-11,"Office of Readings, Year I: Ordinary Time, Week 2, Monday"
Rom 5:12-21,"Office of Readings, Year I: Ordinary Time, Week 2, Tuesday"
Rom 6:1-11,"Office of Readings, Year I: Ordinary Time, Week 2, Wednesday"
Rom 6:12-23,"Office of Readings, Year I: Ordinary Time, Week 2, Thursday"
